id,category_id,language,title,slug,html_content,description,external_link,phone,email,source,display_order,is_active,created_at,updated_at,created_by,updated_by
05f7f8de-a78d-4adc-8062-d2133b22d38a,housing,ku,یارمەتی کرێ (Housing Benefit),housing-benefit,"<div>
        <h2>یارمەتی کرێ (Housing Benefit)</h2>
        <p>Housing Benefit یارمەتییەکی دارایییە بۆ یارمەتی کردن لە پارەدانی کرێی خانوو.</p>
        <h3>کێ دەتوانێت داوای بکات:</h3>
        <ul>
            <li>کەسانی بەدەرهاتوو</li>
            <li>کەسانی بێکار</li>
            <li>کەسانی بە کرێژن</li>
        </ul>
        <h3>چۆن داوای بکەیت:</h3>
        <ol>
            <li>سەردانی کۆنسڵی ناوچەکەت بکە</li>
            <li>فۆرمی Housing Benefit پر بکە</li>
            <li>بەڵگەنامە پێویستەکان بنێرە</li>
        </ol>
    </div>",یارمەتی کرێ بۆ کەسانی بەدەرهاتوو,https://www.gov.uk/housing-benefit,,,UK Government,1,true,2025-11-13 10:54:28.324766+00,2025-11-13 10:54:28.324766+00,,
072d899c-ada7-441e-b70c-61b26e8dc040,driving,ku,مامۆستاکانی شۆفێری,driving-instructors,NA,,,,,,0,true,2025-11-28 14:45:06.598485+00,2025-11-28 14:45:41.527427+00,d1158ca3-751a-40d3-94f7-b6725eb0d971,d1158ca3-751a-40d3-94f7-b6725eb0d971
074c7280-fabe-457f-a70f-bc74ed033a43,housing,ku,باجی کۆنسڵ (Council Tax),council-tax,"<div>
        <h2>باجی کۆنسڵ (Council Tax)</h2>
        <p>Council Tax باجێکە کە بۆ خزمەتگوزاریەکانی کۆنسڵ دەدرێت.</p>
        <h3>ئەگەری کەمکردنەوە:</h3>
        <ul>
            <li>تەنهاژنان</li>
            <li>بێکاربوون</li>
            <li>کەمبوونی داهات</li>
        </ul>
    </div>",زانیاری دەربارەی باجی کۆنسڵ,https://www.gov.uk/council-tax,,,UK Government,2,true,2025-11-13 10:54:28.324766+00,2025-11-13 10:54:28.324766+00,,
18b514cb-93ad-4d3a-9573-533d59b19dcb,healthcare,ar,العثور على طبيب,find-a-doctor,"<div>
        <h2>العثور على طبيب</h2>
        <p>العثور على GP أو طبيب العائلة يساعدك في استخدام الخدمات الصحية.</p>
        <h3>كيف تجده:</h3>
        <ul>
            <li>قم بزيارة موقع NHS</li>
            <li>اكتب عنوانك</li>
            <li>شاهد قائمة GP</li>
            <li>اختر GP قريب منك</li>
        </ul>
    </div>",العثور على طبيب قريب,https://www.nhs.uk/service-search/find-a-gp,,,NHS,2,true,2025-11-13 10:54:28.324766+00,2025-11-13 10:54:28.324766+00,,
547007b3-7c54-4273-8139-3d473f5b79ec,housing,ar,مساعدة الإيجار (Housing Benefit),housing-benefit,"<div>
        <h2>مساعدة الإيجار (Housing Benefit)</h2>
        <p>Housing Benefit هي مساعدة مالية لمساعدتك في دفع إيجار المنزل.</p>
        <h3>من يمكنه التقديم:</h3>
        <ul>
            <li>الأشخاص المحتاجين</li>
            <li>العاطلين عن العمل</li>
            <li>المستأجرين</li>
        </ul>
        <h3>كيفية التقديم:</h3>
        <ol>
            <li>قم بزيارة مجلس منطقتك</li>
            <li>املأ نموذج Housing Benefit</li>
            <li>أرسل المستندات المطلوبة</li>
        </ol>
    </div>",مساعدة الإيجار للأشخاص المحتاجين,https://www.gov.uk/housing-benefit,,,UK Government,1,true,2025-11-13 10:54:28.324766+00,2025-11-13 10:54:28.324766+00,,
7f803e74-97cf-4416-8f57-092daee20cfc,healthcare,ku,چۆنیەتی ناساندن بە GP,how-to-register-with-gp,"<!-- 
  Formatted HTML content for GP Registration resource
  This can be inserted into the html_content field in Supabase
  Designed to work with the app's Tailwind CSS and RTL support
  Note: The outer container and title are handled by ResourceDetail page
-->

<div class=""space-y-4"" dir=""rtl"">
  
  <!-- Quick Facts Card -->
  <div class=""bg-gradient-to-br from-indigo-50 to-purple-50 rounded-xl p-5 shadow-sm border border-indigo-100/50"">
    <h3 class=""text-xl font-bold text-slate-900 mb-4 flex items-center gap-2"" dir=""rtl"">
      <span class=""w-1 h-6 bg-gradient-to-b from-indigo-500 to-purple-500 rounded-full""></span>
      بۆ کێیە؟
    </h3>
    <div class=""space-y-3"">
      <div class=""flex items-start gap-3 p-4 bg-white rounded-xl border border-indigo-200/50 shadow-sm"">
        <div class=""flex-shrink-0 w-10 h-10 bg-indigo-600 text-white rounded-full flex items-center justify-center text-lg font-bold"">
          👥
        </div>
        <div class=""flex-1"" dir=""rtl"">
          <p class=""font-semibold text-slate-900 mb-1"">کێ؟</p>
          <p class=""text-sm text-slate-700"">هەموو کەسێک لە ئینگلتەرا (بە داواکارانی پەنابەریشەوە)</p>
        </div>
      </div>
      
      <div class=""flex items-start gap-3 p-4 bg-white rounded-xl border border-indigo-200/50 shadow-sm"">
        <div class=""flex-shrink-0 w-10 h-10 bg-indigo-600 text-white rounded-full flex items-center justify-center text-lg font-bold"">
          🆔
        </div>
        <div class=""flex-1"" dir=""rtl"">
          <p class=""font-semibold text-slate-900 mb-1"">بەڵگەنامە؟</p>
          <p class=""text-sm text-slate-700""><strong class=""text-indigo-700"">هیچ شتێک پێویست نییە.</strong> پێویستت بە ناسنامە، بەڵگەی ناونیشان، یان ژمارەی <span dir=""ltr"">NHS</span> نییە.</p>
        </div>
      </div>
      
      <div class=""flex items-start gap-3 p-4 bg-white rounded-xl border border-indigo-200/50 shadow-sm"">
        <div class=""flex-shrink-0 w-10 h-10 bg-indigo-600 text-white rounded-full flex items-center justify-center text-lg font-bold"">
          💰
        </div>
        <div class=""flex-1"" dir=""rtl"">
          <p class=""font-semibold text-slate-900 mb-1"">نرخ؟</p>
          <p class=""text-sm text-slate-700"">خۆڕایی</p>
        </div>
      </div>
    </div>
  </div>

  <!-- Step-by-Step Card -->
  <div class=""bg-gradient-to-br from-slate-50 to-slate-100 rounded-xl shadow-sm border border-slate-200/50 overflow-hidden"">
    <div class=""p-5 pb-0"">
      <h3 class=""text-xl font-bold text-slate-900 mb-4 flex items-center gap-2"" dir=""rtl"">
        <span class=""w-1 h-6 bg-gradient-to-b from-indigo-500 to-purple-500 rounded-full""></span>
        چۆنیەتی ئەنجامدانی؟
      </h3>
    </div>
    <div class=""divide-y divide-slate-200"">
      
       <!-- Step 1 -->
       <details class=""group"" open>
         <summary class=""flex items-center justify-between p-5 font-semibold cursor-pointer hover:bg-white/50 transition-colors"" dir=""rtl"" style=""direction: rtl !important;"">
           <div class=""flex items-center gap-3 flex-1"" style=""direction: rtl !important;"">
             <div class=""flex-shrink-0 w-8 h-8 bg-gradient-to-br from-indigo-600 to-purple-600 text-white rounded-full flex items-center justify-center text-sm font-bold"" style=""direction: ltr !important; transform: none !important;"">
               1
             </div>
             <span class=""text-slate-900"" style=""direction: rtl !important; unicode-bidi: embed; transform: none !important;"">نۆرینگەیەکی <span dir=""ltr"" style=""direction: ltr !important; unicode-bidi: embed; transform: none !important;"">GP</span> بدۆزەرەوە</span>
           </div>
           <span class=""text-slate-500 group-open:rotate-180 transition-transform duration-200 flex-shrink-0 ml-2 arrow-icon"" style=""direction: ltr !important; display: inline-block;"">▼</span>
         </summary>
        <div class=""px-5 pb-5 pt-0 text-slate-700 leading-relaxed"" dir=""rtl"">
          <p>ئامرازی <span dir=""ltr"">'Find a GP'</span> لە ماڵپەڕی <span dir=""ltr"">NHS</span> بەکاربهێنە بۆ دۆزینەوەی نۆرینگە لە نزیک کۆدی پۆستەی خۆت. زۆربەی خەڵک لە نزیک شوێنی نیشتەجێبوونیان خۆیان تۆمار دەکەن.</p>
        </div>
      </details>

       <!-- Step 2 -->
       <details class=""group"">
         <summary class=""flex items-center justify-between p-5 font-semibold cursor-pointer hover:bg-white/50 transition-colors"" dir=""rtl"" style=""direction: rtl !important;"">
           <div class=""flex items-center gap-3 flex-1"" style=""direction: rtl !important;"">
             <div class=""flex-shrink-0 w-8 h-8 bg-gradient-to-br from-indigo-600 to-purple-600 text-white rounded-full flex items-center justify-center text-sm font-bold"" style=""direction: ltr !important; transform: none !important;"">
               2
             </div>
             <span class=""text-slate-900"" style=""direction: rtl !important; unicode-bidi: embed; transform: none !important;"">فۆڕمی تۆمارکردن پڕ بکەرەوە</span>
           </div>
           <span class=""text-slate-500 group-open:rotate-180 transition-transform duration-200 flex-shrink-0 ml-2 arrow-icon"" style=""direction: ltr !important; display: inline-block;"">▼</span>
         </summary>
        <div class=""px-5 pb-5 pt-0 text-slate-700 leading-relaxed"" dir=""rtl"">
          <p>زۆربەی نۆرینگەکان داوات لێدەکەن فۆرمێک بە ناوی <span dir=""ltr"">'GMS1'</span> پڕ بکەیتەوە. زۆرجار دەتوانیت ئەمە لە پێشوازی نۆرینگەکە یان ماڵپەڕەکەیان وەربگریت. هەروەها زۆر نۆرینگە ڕێگەت پێدەدەن ئۆنلاین خۆت تۆمار بکەیت.</p>
        </div>
      </details>

       <!-- Step 3 -->
       <details class=""group"">
         <summary class=""flex items-center justify-between p-5 font-semibold cursor-pointer hover:bg-white/50 transition-colors"" dir=""rtl"" style=""direction: rtl !important;"">
           <div class=""flex items-center gap-3 flex-1"" style=""direction: rtl !important;"">
             <div class=""flex-shrink-0 w-8 h-8 bg-gradient-to-br from-indigo-600 to-purple-600 text-white rounded-full flex items-center justify-center text-sm font-bold"" style=""direction: ltr !important; transform: none !important;"">
               3
             </div>
             <span class=""text-slate-900"" style=""direction: rtl !important; unicode-bidi: embed; transform: none !important;"">فۆڕمەکە پێشکەش بکە</span>
           </div>
           <span class=""text-slate-500 group-open:rotate-180 transition-transform duration-200 flex-shrink-0 ml-2 arrow-icon"" style=""direction: ltr !important; display: inline-block;"">▼</span>
         </summary>
        <div class=""px-5 pb-5 pt-0 text-slate-700 leading-relaxed"" dir=""rtl"">
          <p>فۆڕمەکە بدەرەوە بە نۆرینگەکە. بە گشتی نزیکەی <span dir=""ltr"">٥</span> ڕۆژی پێدەچێت تا تۆمار دەکرێیت. ئەوان پەیوەندیت پێوە دەکەن بۆ دڵنیاکردنەوە.</p>
        </div>
      </details>
      
    </div>
  </div>

  <!-- Other Registration Methods -->
  <div class=""bg-gradient-to-br from-indigo-50 to-purple-50 rounded-xl p-5 shadow-sm border border-indigo-100/50"">
    <h3 class=""text-xl font-bold text-slate-900 mb-4 flex items-center gap-2"" dir=""rtl"">
      <span class=""w-1 h-6 bg-gradient-to-b from-indigo-500 to-purple-500 rounded-full""></span>
      ڕێگاکانی تری تۆمارکردن
    </h3>
    <div class=""space-y-3"">
      <div class=""flex items-start gap-3 p-4 bg-gradient-to-br from-slate-50 to-slate-100 rounded-xl border border-slate-200/50"">
        <div class=""flex-shrink-0 w-10 h-10 bg-indigo-100 text-indigo-600 rounded-full flex items-center justify-center text-lg"">
          ⏱️
        </div>
        <div class=""flex-1"" dir=""rtl"">
          <p class=""font-semibold text-slate-900 mb-1"">وەک نەخۆشێکی کاتی</p>
          <p class=""text-sm text-slate-700"">دەتوانیت بە شێوەیەکی کاتی بۆ ماوەی <span dir=""ltr"">٣</span> مانگ خۆت تۆمار بکەیت. ئەمە بەسوودە ئەگەر سەردانی ناوچەیەک دەکەیت یان ناتەوێت پزیشکی <span dir=""ltr"">GP</span> سەرەکی خۆت بگۆڕیت.</p>
        </div>
      </div>
      
      <div class=""flex items-start gap-3 p-4 bg-gradient-to-br from-slate-50 to-slate-100 rounded-xl border border-slate-200/50"">
        <div class=""flex-shrink-0 w-10 h-10 bg-indigo-100 text-indigo-600 rounded-full flex items-center justify-center text-lg"">
          👶
        </div>
        <div class=""flex-1"" dir=""rtl"">
          <p class=""font-semibold text-slate-900 mb-1"">تۆمارکردنی منداڵ (خوار <span dir=""ltr"">16</span> ساڵ)</p>
          <p class=""text-sm text-slate-700"">منداڵان لەلایەن دایک/باوک یان سەرپەرشتیارەوە تۆمار دەکرێن. ڕەنگە داوای ناسنامەی لەدایکبوون یان ''پەرتووکی سوور'' (تۆماری تەندروستی منداڵ) لێبکرێت.</p>
        </div>
      </div>
    </div>
  </div>

  <!-- Important Info Card -->
  <div class=""bg-gradient-to-br from-blue-50 to-indigo-50 rounded-xl p-5 shadow-sm border border-blue-200/50"">
    <h3 class=""text-xl font-bold text-slate-900 mb-4 flex items-center gap-2"" dir=""rtl"">
      <span class=""w-1 h-6 bg-gradient-to-b from-indigo-500 to-purple-500 rounded-full""></span>
      زانیاری گرنگ
    </h3>
    <div class=""bg-gradient-to-br from-blue-50 to-indigo-50 border-r-4 border-blue-500 p-5 rounded-xl"" dir=""rtl"">
      <div class=""flex gap-3"">
        <div class=""flex-shrink-0"">
          <span class=""text-2xl"">ℹ️</span>
        </div>
        <div class=""flex-1 text-slate-700 space-y-2"">
          <ul class=""list-disc list-outside space-y-2 pr-6"" style=""list-style-position: outside;"">
            <li>ئەگەر ناونیشانی هەمیشەییت نییە، دەتوانیت ناونیشانێکی کاتی یان ناونیشانی نۆرینگەی <span dir=""ltr"">GP</span> خۆی بەکاربهێنیت.</li>
            <li>نۆرینگەیەک تەنها دەتوانێت تۆمارکردنت ڕەت بکاتەوە ئەگەر زۆر دوور بژیت یان لیستی نەخۆشەکانیان پڕ بووبێتەوە.</li>
            <li><strong class=""text-slate-900"">ناتوانن</strong> لەبەر ڕەگەزنامەکەت، دۆخی کۆچبەریت، یان نەبوونی بەڵگەنامە ڕەتت بکەنەوە.</li>
          </ul>
        </div>
      </div>
    </div>
  </div>

  <!-- What if Refused Card -->
  <div class=""bg-gradient-to-br from-slate-50 to-slate-100 rounded-xl p-5 shadow-sm border border-slate-200/50"">
    <h3 class=""text-xl font-bold text-slate-900 mb-4 flex items-center gap-2"" dir=""rtl"">
      <span class=""w-1 h-6 bg-gradient-to-b from-indigo-500 to-purple-500 rounded-full""></span...",زانیاری دەربارەی چۆنیەتی ناساندن بە دکتۆری خێزانی,https://www.nhs.uk/nhs-services/gps/how-to-register-with-a-gp-surgery/,,,NHS,1,true,2025-11-13 10:54:28.324766+00,2025-11-13 11:56:59.87126+00,,
8994c900-c80d-4d6f-ac8f-86d35abec5d8,housing,ar,ضريبة المجلس (Council Tax),council-tax,"<div>
        <h2>ضريبة المجلس (Council Tax)</h2>
        <p>Council Tax هي ضريبة تدفع لخدمات المجلس.</p>
        <h3>إمكانية التخفيض:</h3>
        <ul>
            <li>العيش وحيداً</li>
            <li>البطالة</li>
            <li>انخفاض الدخل</li>
        </ul>
    </div>",معلومات حول ضريبة المجلس,https://www.gov.uk/council-tax,,,UK Government,2,true,2025-11-13 10:54:28.324766+00,2025-11-13 10:54:28.324766+00,,
973eb279-390a-434e-99a5-8bb5ddcec0d3,driving,ku,ڕێبەری وەرگرتنی مۆڵەت,,"<!DOCTYPE html>
<html lang=""ku"" dir=""rtl"">
<head>
    <meta charset=""UTF-8"">
    <meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">
    <title>Full Driving License Guide (Kurdish)</title>
    <!-- Load Tailwind CSS with Typography -->
    <script src=""https://cdn.tailwindcss.com?plugins=typography""></script>
    <!-- Load Phosphor Icons -->
    <script src=""https://unpkg.com/@phosphor-icons/web""></script>
    
    <style>
        /* Fonts */
        @import url('https://fonts.googleapis.com/css2?family=IBM+Plex+Sans+Arabic:wght@400;500;600;700&family=Inter:wght@400;500;600;700&display=swap');
        
        body {
            font-family: 'Inter', sans-serif;
            background-color: #f3f4f6;
        }
        
        /* Kurdish Font */
        html[dir=""rtl""] body {
            font-family: 'IBM Plex Sans Arabic', sans-serif;
        }

        /* Step Number Badge */
        .step-badge {
            background: linear-gradient(135deg, #4f46e5, #7c3aed);
            color: white;
            width: 2.5rem;
            height: 2.5rem;
            display: flex;
            align-items: center;
            justify-content: center;
            border-radius: 9999px;
            font-weight: bold;
            flex-shrink: 0;
        }
        
        /* Image Container styling */
        .step-image-container {
            border: 2px solid #e5e7eb;
            border-radius: 0.75rem;
            overflow: hidden;
            margin-top: 1rem;
            background-color: white;
            display: flex;
            align-items: center;
            justify-content: center;
            padding: 2rem;
            color: #9ca3af;
        }
    </style>
</head>
<body class=""p-4 md:p-8 pb-24"">

    <div class=""max-w-md mx-auto bg-gray-50 rounded-2xl shadow-xl overflow-hidden relative min-h-screen"">
        
        <!-- Header -->
        <header class=""sticky top-0 z-40 bg-white text-gray-800 p-4 shadow-sm flex items-center border-b border-gray-200"">
            <button class=""absolute left-4 rtl:left-auto rtl:right-4"">
                <i class=""ph ph-arrow-right text-2xl text-gray-600 rtl:rotate-180""></i>
            </button>
            <h1 class=""text-lg font-bold text-center w-full"">ڕێبەری وەرگرتنی مۆڵەت</h1>
        </header>

        <main class=""p-5 space-y-6 ltr:text-left rtl:text-right"">

            <!-- Intro Card -->
            <div class=""bg-white rounded-xl p-5 shadow-sm border border-indigo-100"">
                <h2 class=""text-2xl font-bold text-gray-900 mb-2"">
                    چۆنیەتی وەرگرتنی مۆڵەتی شۆفێری تەواو
                </h2>
                <div class=""prose prose-indigo max-w-none text-gray-700 text-sm"">
                    <p>بە پەیڕەوکردنی ئەم هەنگاوانە، دەتوانیت بە متمانە و ئاسانی پڕۆسەی وەرگرتنی مۆڵەتی شۆفێری تێپەڕێنیت.</p>
                </div>
            </div>

            <!-- Divider -->
            <div class=""relative py-4"">
                <div class=""absolute inset-0 flex items-center"">
                    <div class=""w-full border-t border-gray-300""></div>
                </div>
                <div class=""relative flex justify-center"">
                    <span class=""bg-f3f4f6 px-4 text-sm text-gray-500 font-medium"">قۆناغی ١: مۆڵەتی کاتی</span>
                </div>
            </div>

            <!-- Step 1 -->
            <div class=""bg-white rounded-xl overflow-hidden shadow-md border border-gray-200"">
                <div class=""p-4 border-b border-gray-100 flex items-center gap-3"">
                    <div class=""step-badge"">1</div>
                    <h3 class=""font-bold text-lg text-gray-800"">تێگەیشتن لە مەرجەکان</h3>
                </div>
                <div class=""p-4 space-y-3"">
                    <p class=""text-gray-600 text-sm"">پێش هەموو شتێک دڵنیابە لەوەی شیاویت:</p>
                    <ul class=""list-disc list-inside text-sm text-gray-600 space-y-1"">
                        <li>تەمەنت لانی کەم ١٥ ساڵ و ٩ مانگ بێت.</li>
                        <li>بتوانیت ژمارەی تابلۆی ئۆتۆمبێل لە دووری ٢٠ مەترەوە بخوێنیتەوە.</li>
                        <li>لانی کەم ١٨٥ ڕۆژ مۆڵەتی مانەوەت لە بەریتانیا هەبێت.</li>
                    </ul>
                </div>
            </div>

            <!-- Step 2 -->
            <div class=""bg-white rounded-xl overflow-hidden shadow-md border border-gray-200"">
                <div class=""p-4 border-b border-gray-100 flex items-center gap-3"">
                    <div class=""step-badge"">2</div>
                    <h3 class=""font-bold text-lg text-gray-800"">ئامادەکردنی بەڵگەنامەکان</h3>
                </div>
                <div class=""p-4 space-y-3"">
                    <p class=""text-gray-600 text-sm"">ئەم بەڵگەنامانە ئامادە بکە:</p>
                    <ul class=""list-disc list-inside text-sm text-gray-600 space-y-1"">
                        <li>ناسنامە (پاسپۆرت یان ناسنامەی لەدایکبوون).</li>
                        <li>بەڵگەی ناونیشان (بۆ ٣ ساڵی ڕابردوو).</li>
                        <li>ژمارەی بیمەی نیشتمانی (<span dir=""ltr"">NI Number</span>).</li>
                    </ul>
                    <div class=""step-image-container bg-indigo-50 border-indigo-100"">
                        <i class=""ph ph-files text-4xl text-indigo-300""></i>
                    </div>
                </div>
            </div>

            <!-- Divider -->
            <div class=""relative py-4"">
                <div class=""absolute inset-0 flex items-center"">
                    <div class=""w-full border-t border-gray-300""></div>
                </div>
                <div class=""relative flex justify-center"">
                    <span class=""bg-f3f4f6 px-4 text-sm text-gray-500 font-medium"">قۆناغی ٢: تاقیکردنەوەی تیۆری</span>
                </div>
            </div>

            <!-- Step 3 -->
            <div class=""bg-white rounded-xl overflow-hidden shadow-md border border-gray-200"">
                <div class=""p-4 border-b border-gray-100 flex items-center gap-3"">
                    <div class=""step-badge"">3</div>
                    <h3 class=""font-bold text-lg text-gray-800"">خوێندن بۆ تاقیکردنەوە</h3>
                </div>
                <div class=""p-4 space-y-3"">
                    <p class=""text-gray-600 text-sm"">ئەمە زۆر گرنگە بۆ تێگەیشتن لە یاساکانی هاتووچۆ:</p>
                    <ul class=""list-disc list-inside text-sm text-gray-600 space-y-1"">
                        <li>کتێبی ڕێبەری شۆفێری (<span dir=""ltr"">Highway Code</span>) پەیدا بکە.</li>
                        <li>یاساکانی سەر شەقام و هێماکان فێر ببە.</li>
                        <li>تاقیکردنەوەی ئەزموونی ئۆنلاین بکە بۆ ئەوەی خۆت ئامادە بکەیت.</li>
                    </ul>
                </div>
            </div>

            <!-- Step 4 -->
            <div class=""bg-white rounded-xl overflow-hidden shadow-md border border-gray-200"">
                <div class=""p-4 border-b border-gray-100 flex items-center gap-3"">
                    <div class=""step-badge"">4</div>
                    <h3 class=""font-bold text-lg text-gray-800"">ئەنجامدانی تاقیکردنەوەی تیۆری</h3>
                </div>
                <div class=""p-4 space-y-3"">
                    <p class=""text-gray-600 text-sm"">کاتێک ئامادە بوویت، کاتێک دیاری بکە لە سەنتەری تاقیکردنەوە.</p>
                    <div class=""bg-yellow-50 border-r-4 border-yellow-400 p-3 rounded text-xs text-yellow-800"">
                        <strong>لە بیرت نەچێت:</strong> ناسنامەکەت لەگەڵ خۆت ببە بۆ تاقیکردنەوەکە.
                    </div>
                    <p class=""text-gray-600 text-sm"">دوای دەرچوون، بڕوانامەی دەرچوونت وەردەگریت و مۆڵەتە کاتییەکەت بە پۆست بۆ دێت.</p>
                </div>
            </div>

            <!-- Divider -->
            <div class=""relative py-4"">
                <div class=""absolute inset-0 flex items-center"">
                    <div class=""w-full border-t border-gray-300""></div>
                </div>
                <div class=""relative flex justify-center"">
                    <span class=""bg-f3f4f6 px-4 text-sm text-gray-500 font-medium"">قۆناغی ٣: فێربوونی شۆفێری</span>
                </div>
            </div>

            <!-- Step 5 -->
            <div class=""bg-white rounded-xl overflow-hidden shadow-md border border-gray-200"">
                <div class=""p-4 border-b border-gray-100 flex items-center gap-3"">
                    <div class=""step-badge"">5</div>
                    <h3 class=""font-bold text-lg text-gray-800"">مەشقکردن</h3>
                </div>
                <div class=""p-4 space-y-3"">
                    <p class=""text-gray-600 text-sm"">کاتێک مۆڵەتی کاتی (<span dir=""ltr"">Provisional</span>)ت وەرگرت، دەتوانیت دەست بکەیت بە شۆفێری.</p>
                    <p class=""text-gray-600 text-sm""><strong>مەرج:</strong> دەبێت هەمیشە کەسێکی پێگەیشتوو (سەروو ٢١ ساڵ) کە مۆڵەتی تەواوی هەبێت لە تەنیشتت دابنیشێت.</p>
                    <div class=""step-image-container bg-indigo-50 border-indigo-100"">
                        <i class=""ph ph-steering-wheel text-4xl text-indigo-300""></i>
                    </div>
                </div>
            </div>

            <!-- Step 6 -->
            <div class=""bg-white rounded-xl overflow-hidden shadow-md border border-gray-200"">
                <div class=""p-4 border-b border-gray-100 flex items-center gap-3"">
                    <div class=""step-badge"">6</div>
                    <h3 class=""font-bold text-lg text-gray-800"">تاقیکردنەوەی پراکتیکی (Driving Test)</h3>
                </div>
                <div class=""p-4 space-y-3"">
                    <p class=""text-gray-600 text-sm"">کاتێک هەستت کرد ئامادەیت، کاتی تاقیکردنەوەی کۆتایی دیاری بکە. پشکنەر هەڵسەنگاندن بۆ تواناکانت دەکات.</p>
                    <p class=""text-gray-600 text-sm font-semibold"">لە ڕۆژی تاقیکردنەوەکەدا ئەمانە ببە:</p>
                    <ul class=""list-disc list-inside text-sm text-gray-600 space-y-1"">
                        <li>مۆڵەتی کاتی (Provisional).</li>
                        <li>بەڵگەی دەرچوون لە تاقیکردنەوەی تیۆری.</li>
                    </ul>
                </div>
            </div>

            <!-- Step 7 (Final) -->
            <div class=""bg-gradient-to-br from-green-50 to-emerald-50 rounded-xl overflow-hidden shadow-md border border-green-200"">...",,,,,,0,true,2025-11-28 12:29:51.204578+00,2025-11-28 12:29:51.204578+00,d1158ca3-751a-40d3-94f7-b6725eb0d971,d1158ca3-751a-40d3-94f7-b6725eb0d971
adfae006-ad60-44b9-a59d-5d8842f8d43e,healthcare,ku,دۆزینەوەی دکتۆر,find-a-doctor,"<div>
        <h2>دۆزینەوەی دکتۆر</h2>
        <p>دۆزینەوەی GP یان دکتۆری خێزانی یارمەتیت دەدات لە بەکارهێنانی خزمەتگوزاریە تەندروستیەکان.</p>
        <h3>چۆن دۆزی بدەیتەوە:</h3>
        <ul>
            <li>سەردانی ماڵپەڕی NHS بکە</li>
            <li>ناونیشانی خۆت بنووسە</li>
            <li>لیستی GP ەکان ببینە</li>
            <li>GP یەکی هەڵبژێرە کە نزیکت بێت</li>
        </ul>
    </div>",دۆزینەوەی دکتۆری نزیک,https://www.nhs.uk/service-search/find-a-gp,,,NHS,2,true,2025-11-13 10:54:28.324766+00,2025-11-13 10:54:28.324766+00,,
b14f8132-beec-463c-8fd6-8ddda401f04c,housing,ku,Universal Credit,universal-credit,"<div>
        <h2>Universal Credit</h2>
        <p>Universal Credit یارمەتی داراییەکی گشتگیرە کە لەگەڵ یارمەتی کرێ دەگرێتەوە.</p>
        <h3>شامەڵدەکات:</h3>
        <ul>
            <li>یارمەتی کرێ</li>
            <li>یارمەتی بێکاری</li>
            <li>یارمەتی منداڵ</li>
        </ul>
    </div>",یارمەتی کرێ لە ژێر Universal Credit,https://www.gov.uk/universal-credit,,,UK Government,3,true,2025-11-13 10:54:28.324766+00,2025-11-13 10:54:28.324766+00,,
